id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.59282E+17,Apartamento luminoso en el centro de Madrid,78809960,Ana,Centro,Embajadores,40.41042927,-3.704966067,Entire home/apt,91,4,12,26/02/2024,1.06,1,288,12,NA
8.59288E+17,Cuatro Caminos Madrid Centro M (GRL3),460712642,Victoria,Tetuán,Bellas Vistas,40.44914074,-3.705258071,Entire home/apt,371,1,3,03/01/2024,0.27,9,186,3,NA
8.59404E+17,Duplex de diseño con piscina.,168691555,Irene,Ciudad Lineal,Costillares,40.46825392,-3.667671913,Entire home/apt,273,2,0,,,6,188,0,NA
8.57797E+17,Habitación con cama doble,351796498,Elena,Villa de Vallecas,Casco Histórico de Vallecas,40.36257,-3.58745,Private room,34,2,67,17/03/2024,5.76,2,76,67,NA
8.57801E+17,"Cómoda Habitación, Madrid-Centro",503720474,Josmir,Centro,Universidad,40.42557938,-3.702983049,Private room,,1,0,,,3,0,0,NA
8.5949E+17,Bright apartment in Madrid  / Piso en Madrid,507959808,Sara,Tetuán,Bellas Vistas,40.4532493,-3.709193408,Entire home/apt,90,2,1,01/01/2024,0.37,1,74,1,NA
8.59509E+17,设备齐全的温馨公寓-地理位置完美、高速无线网络,249536207,Ming,Salamanca,Fuente del Berro,40.42818755,-3.666571107,Entire home/apt,77,1,10,30/07/2023,0.9,1,51,10,NA
8.57802E+17,Modern Rooftop terrace Gran Via,7280945,Tobias,Centro,Universidad,40.4209525,-3.7024323,Entire home/apt,167,4,71,11/03/2024,6.09,6,38,71,NA
8.59513E+17,Apartamento en pleno centro,412939305,Jorge,Centro,Embajadores,40.4096672,-3.69852,Entire home/apt,120,3,3,02/05/2023,0.26,1,282,3,NA
8.57813E+17,"Bella Habitación, Madrid-Centro.",503720474,Josmir,Centro,Universidad,40.42606416,-3.705509312,Private room,,1,0,,,3,0,0,NA
